protein_annotation	label
Global transcription factor group A2, putative	2
Polyketide synthase PksL	2
Putative von Willebrand factor, type A	2
ATP/GTP-binding motif protein	2
DNA repair exonuclease SbcD	2
Helix-turn-helix domain of transposase family ISL3	2
Na(+)/H(+)-K(+) antiporter GerN	2
Methylthioribulose-1-phosphate dehydratase	2
Putative 5'-3' exonuclease	2
Bacterial Ig-like domain protein	2
Putative DUF1833 protein	1
5'3'-deoxyribonucleotidase, cytosolic type	2
PBECR3 domain-containing protein	2
Putative coiled-coil protein SlyX	2
Nudix (MutT) family hydrolase/pyrophosphatase	2
Cupin region protein	2
Death-on-curing family protein	2
Cytosine-specific methyltransferase	2
Domain of uncharacterized function (DUF955)	1
Phage DNA polymerase	2
acyl-CoA-binding domain-containing protein 5	2
inner nuclear membrane protein Man1-like isoform X1	2
DUF2076 domain-containing protein	1
Uncharacterized protein YgiM (DUF1202 family)	1
SpoIID/LytB domain-containing protein	2
Prophage pi1 protein 09	0
phosphoribosyl pyrophosphate synthase-associated protein 1 isoform X1	2
HSP60 protein	2
Protein NrdI	2
Partitioning protein	2
AAA family ATPase-like protein	2
Periplasmic protein: Putative periplasmic protein	1
Ribonucleotide reductase, beta subunit	2
LytTR family two component transcriptional regulator	2
RNA polymerase sigma-70 factor (ECF subfamily)	2
Putative soluble lytic transglycosylase fused to an ABC-type amino acid-binding protein	2
ClpP protease-like protein	2
Putative terminal organelle assembly protein TopJ	2
GAF sensor-containing diguanylate cyclase/phosphodiesterase	2
60 kDa chaperonin 5	2
SDR family NAD(P)-dependent oxidoreductase	2
KpsF/GutQ family protein	2
DUF3365 domain-containing protein	1
Anaphase-promoting complex, cyclosome, subunit 3	2
Recombinase rad51, putative	2
BRO N-terminal domain containing protein	2
Phage tail assembly chaperone family protein, TAC	2
Gp44 domain protein	0
Type VI secretion system protein VasI	2
Bicupin oxalate decarboxylase/oxidase	2
Stomatin mitochondrial	2
RC104	0
MADS-box domain-containing protein	2
Predicted phosphatase, HAD family	2
Protein F12M16.25	0
Putative ATPase (DUF699)	2
Macrodomain protein	2
ABC-type amino acid transport system	2
Protein-like protein	0
DNA, contig: SP610	0
TATA-binding protein	2
Group 1 glycosyl transferase	2
Bacteriophage late control gene D protein	2
Sensor histidine kinase	2
Export associated protein	1
GTP cyclohydrolase I FolE	2
Collagen type VI alpha 5 chain	2
Beta-glucanase (GH16 family)	2
ATP-dependent helicase STH1/SNF2	2
Cohesin domain protein	2
Altered inheritance of mitochondria protein 41	2
IscS protein	2
aspartate beta-hydroxylase domain-containing protein 2 isoform X1	2
Protein gp16	0
3-oxoacyl-[acyl-carrier protein] reductase	2
Immunoglobulin-binding regulator B family protein	2
Heme peroxidase	2
D-alanine--D-alanine ligase	2
DUF536 domain-containing protein	1
Aspartate kinase	2
Lactonase-like protein	2
BQ5605_C026g10214 protein	0
Uncharacterized homolog of phage Mu protein gp47	2
ATPase, AAA family	2
Unplaced genomic scaffold supercont1.4, whole genome shotgun sequence	0
Peptide chain release factor PrfB1 chloroplastic	2
Guanosine-3	0
Peptide chain release factor 2 programmed frameshift-containing	2
Putative head morphogenesis protein of bacteriophage	2
Aspartyl-tRNA amidotransferase subunit B	2
tRNA (guanine(26)-N(2))-dimethyltransferase	2
Si:ch211-63p21.8	0
transitional endoplasmic reticulum ATPase-like	2
Fur-regulated protein	2
NrtR-regulated NrtX	2
Peptide chain release factor, chloroplastic	2
Transcriptional regulator LysR	2
Integrin beta 8	2
Putative DNA replication factor C subunit Rfc4	2
Putative RNase_H superfamily protein	2
Fatty acid synthase S-acetyltransferase	2
Probable DNA-directed RNA polymerase	2
Phage major tail protein TP901-1 family	2
CHY-type domain-containing protein	2
Pathogenesis-related transcription factor	2
Modular domain immune-type receptor 2	2
Putative capsid protein	2
ElaA protein	2
Accessory gene regulator protein A	2
influenza virus NS1A-binding protein homolog A	2
Putative secondary metabolism biosynthetic enzyme	2
Phage transcriptional repressor	2
uncharacterized protein LOC101492138 isoform X2	0
BRO family, N-terminal domain-containing protein	2
Kelch like family member 8	2
DNA ligase 1	2
HK97 family phage major capsid protein/HK97 family phage prohead protease	2
DnaJ-like protein subfamily B member 13	2
tRNA(Met) cytidine acetyltransferase TmcA	2
GIY-YIG/LAGLIDADG	2
Metallo-dependent phosphatase	2
ParB family chromosome partitioning protein	2
Oxidoreductase, 2OG-Fe oxygenase family	2
Unplaced genomic scaffold supercont1.3, whole genome shotgun sequence	0
Omn10	2
Vicilin antimicrobial peptide	2
Uncharacterized Na(+)/H(+) antiporter C15A10.06	2
Protease FtsH subunit HflC	2
Putative is4eu-1 nv	0
Cohesin domain-containing protein	2
Phage terminase, large subunit, PBSX	2
BQ2448_5292 protein	0
Vicilin	2
Predicted exonuclease VIII/RecE-like protein	2
CBL-interacting protein kinase 33-like	2
Filamentous phage phiLf protein I	2
Glutathione synthase/ribosomal protein S6 modification enzyme (Glutaminyl transferase)	2
Putative aldehyde dehydrogenase	2
kelch-like protein 2 isoform X1	2
Stress response protein	2
junctional adhesion molecule-like isoform X2	2
Phage DNA Packaging Protein	2
Putative phage head-tail adaptor protein	2
Putative phage capsid related protein	2
Phage DNA replication protein	2
Glr2862 protein	2
Putative Nucleoside 2-deoxyribosyltransferase	2
Appr-1-P processing enzyme family protein	2
Vitamin B12-dependent ribonucleotide reductase	2
Beta-ketoacyl synthase	2
Cyclic 3',5'-adenosine monophosphate phosphodiesterase	2
Transcriptional regulator, LysR-family	2
SBD domain-containing protein	2
T4-like baseplate wedge	2
Phage tail repeat like	2
DNA (cytosine-5-)-methyltransferase 3 alpha a	2
Uncharacterized protein (Competence-and mitomycin-induced)	1
Cytidine and deoxycytidylate deaminase	2
Gene transfer agent family protein	0
Phosphate starvation-inducible phoH	2
Fibroblast growth factor receptor homolog 2	2
PHD domain-containing protein	2
[ribosomal protein S5]-alanine N-acetyltransferase	2
Similar to serine/threonine protein phosphatase	2
P22_AR_N domain-containing protein	2
Enoylreductase	2
MurNAc-LAA domain-containing protein	2
deoxycytidylate deaminase-like isoform X1	2
YqaJ viral recombinase protein	2
SNF family helicase	2
Putative leucine-zipper-like transcriptional regulator 1	2
GPKOW	2
DNA repair and recombination protein RadB	2
DUF4747 family protein	1
Hth-type transcriptional regulator	2
Conidial yellow pigment biosynthesis polyketide synthase nscA	2
Streptomycin biosynthesis protein StrI	2
Orf933	0
Acyl-homoserine-lactone acylase	2
DNA polymerase III subunit delta	2
ABC transmembrane type-1 domain-containing protein	2
Response regulator protein VraR	2
NTP pyrophosphatase (Non-canonical NTP hydrolase)	2
cell surface glycoprotein CD200 receptor 2-like	2
ATP-dependent zinc metalloprotease YME1-like protein	2
Unplaced genomic scaffold K443scaffold_24, whole genome shotgun sequence	0
Predicted phosphoesterase	2
uncharacterized protein LOC108850558	0
AA_kinase domain-containing protein	2
Flavoredoxin Flr	2
Type VI secretion system secreted protein VgrG	2
Epimerase domain-containing protein	2
SNF2 helicase	2
Phage DNA transposition protein	2
Phage head-tail joining protein	2
Putative holliday junction resolvase RusA	2
Transcriptional regulator with XRE-family HTH domain	2
Putative nuclease SbcCD subunit C	2
Cartilage oligomeric matrix protein	2
Peroxiredoxin	2
DUF488 family protein	1
Late control gene D protein (GPD)	2
Putative Mov34/MPN/PAD-1 family protein	2
Phosphoesterase, DHH family protein	2
DUF2800 domain-containing protein	1
SNF2 family N-terminal domain protein	2
V-set domain-containing T-cell activation inhibitor 1-like protein	2
Dynein-like protein 11	2
Concanavalin A-like lectin/glucanase domain-containing protein	2
ClpP family protease	2
Gll0587 protein	0
NADH-dependent phenylglyoxylate dehydrogenase subunit epsilon	2
ATP-dependent RecD-like DNA helicase	2
Hydrolase isochorismatase family	2
Fe2+/Zn2+ uptake regulation proteins	2
Poly(A) polymerase	2
Putative head portal protein	2
S-DNA-T family DNA segregation ATPase	2
Prophage endopeptidase	2
Putative LAGLIDADG endonuclease	2
Putative UDP-kanosamine synthase oxidoreductase subunit	2
Putative mitochondrial chaperone BCS1	2
Metal transporter Nramp2-like	2
Nuclear protein ZAP, related protein, putative	2
Putative peptide chain release factor C12orf65, mitochondrial	2
Hypoth_Ymh domain-containing protein	0
H domain protein	2
O-phosphoserine phosphohydrolase	2
Putative helicase domain/type III restriction enzyme	2
Major capsid protein HK97	2
Metallopeptidase SprT	2
Phosphate starvation-inducible ATPase phoH	2
Transcriptional regulator, IclR family	2
Putative Phage integrase	2
Uncharacterized protein COG3236	0
Phosphopantothenatecysteine ligase	2
Putative DNA repair exonuclease	2
Putative transcription factor PML	2
F-box protein 42	2
Gp29	0
Pre-rRNA-processing protein PNO1	2
Putative Transposon Ty3-I Gag-Pol polyprotein	2
Putative three prime repair exonuclease 1	2
Mutator mutT protein (7,8-dihydro-8-oxoguanine-triphosphatase)	2
Putative GNAT acetyltransferase	2
Integrase/recombinase XerC	2
Phage-like element PBSX protein XkdK	2
P-loop NTPase domain-containing protein	2
SPRY domain-containing protein	2
Glycosyl hydrolase family 31	2
Putative phiE125 gp8 family phage protein	0
Oligosaccharide repeat unit polymerase Wzy	2
SCP2 sterol-binding domain-containing protein	2
Sak2	2
Methyl-accepting chemotaxis protein 2	2
DUF5011 domain-containing protein	1
Asparagine synthetase (Glutamine-hydrolyzing)	2
Imidazoleglycerol-phosphate dehydratase	2
ATPase family gene 2 protein	2
deoxycytidylate deaminase-like isoform X2	2
Penicillin-binding protein	2
Putative Rhs element Vgr protein	2
RecA DNA recombination family protein	2
Mte8-like protein	2
PEX6 factor	2
Kazal-like domain-containing protein	2
Repressor protein CI	2
Adenylyltransferase/cytidyltransferase family protein	2
Putative tail tip fiber protein	2
Homeobox protein Meis2	2
Hypothetical Gifsy-1 prophage	0
Lymphoid specific helicase, putative	2
ATP-dependent RNA ligase	2
6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 4	2
Terminase small subunit family protein	2
GOLD domain-containing protein	2
NadR-like protein	2
FG-GAP repeat-containing protein	2
uncharacterized protein LOC106578011 isoform X2	0
Hypothetical protease	2
Related to FUN30-protein important for chromosome integrity and segregation	2
Putative Baseplate J family protein	2
DUF362 domain-containing protein	1
M67 family metallopeptidase	2
Nicotinamide-nucleotide adenylyltransferase	2
DUF4907 domain-containing protein	1
Globin	2
Putative metallopeptidase domain containing protein	2
SPbeta prophage-derived putative HNH homing endonuclease YosQ	2
DNA-directed DNA polymerase I	2
Phage nin-region protein	2
ribonucleoside-diphosphate reductase subunit M2-like isoform X2	2
erlin-2-B-like	2
Protein recA, plasmid (Recombinase A) (RecaLP)	2
Putative gamma-glutamylcyclotransferase	2
Phage head-tail joining family protein	2
Type VI secretion system needle protein Hcp	2
Dna primase small subunit	2
Putative baseplate structural protein	2
Putative GpT-like prophage major head subunit protein	2
SOS-response transcriptional repressor, LexA	2
YfdR protein	2
Putative heat shock protein	2
D-lyxose/D-mannose family sugar isomerase	2
Putative DNA repair and recombination protein RecA	2
Exonuclease sbcc, putative	2
Nuclease (SNase-like)	2
Metallophos domain-containing protein	2
PF14301 domain protein	1
Attractin-like protein 1	2
ParB domain protein nuclease	2
Sorbin and SH3 domain containing 2	2
DNA topoisomerase 4 subunit B	2
DNA phosphorothioation-dependent restriction protein DptF	2
Tub	2
Putative prohibitin	2
Putative NinG protein	2
Recombination protein MgsA	2
Putative hydrolase, NUDIX family	2
5'-deoxynucleotidase SAMN04488244_13015	2
Terpenoid cyclases/protein prenyltransferase alpha-alpha toroid	2
Ribose-phosphate pyrophosphokinase 5	2
GPW/gp25	2
probable inactive ATP-dependent zinc metalloprotease FTSHI 3, chloroplastic	2
Trans-sialidase	2
Predicted transcriptional regulators	2
T2SS-T3SS_pil_N domain-containing protein	2
Chitinase A1	2
Toxin-antitoxin system, antitoxin component, ribbon-helix-helix domain protein	2
Putative GTP pyrophosphokinase	2
Bacillopeptidase F	2
Replication-associated recombination protein A	2
IclR-family regulator	2
Ectodermal-neural cortex 1	2
Putative orphan protein	0
kelch domain-containing protein 8A-like isoform X2	2
Protein NtpR	2
Zinc knuckle	2
Adenine-specific DNA methylase	2
Putative signaling protein CC_0091	2
chromodomain-helicase-DNA-binding protein 1-like isoform X2	2
Leukotoxin	2
germin-like protein subfamily 1 member 13	2
Mlr8530 protein	0
3'-to-5' oligoribonuclease B	2
Putative SWI/SNF-related matrix-associated actin-dependent regulator of chromatin-like	2
EAL/GGDEF domain protein	1
SPP1 family phage head morphogenesis protein	2
Inositol-tetrakisphosphate 1-kinase	2
Putative TROVE domain containing protein	2
5'-nucleotidase	2
Nucleoid-associated protein C1M53_11155	2
E3 ubiquitin- ligase PDZRN3-like	2
Sai integrase	2
23S rRNA (Adenine-N6)-dimethyltransferase	2
Epimerase_2 domain-containing protein	2
DNA repair protein	2
Putative metal dependent phosphohydrolase	2
Putative prophage major capsid protein	2
Lytic transglycosylase F	2
3'-5' exonuclease, PolB	2
FAD-binding PCMH-type domain-containing protein	2
Poly(3-hydroxybutyrate) depolymerase	2
23S ribosomal RNA methyltransferase Erm	2
Peptidase S74	2
Type III restriction enzyme, res subunit family	2
Acyl-CoA-binding domain-containing protein 4	2
Transmembrane p24 trafficking protein 6	2
HTH-type transcriptional regulator CysL	2
Capsid protein CP67	2
NADH pyrophosphatase	2
Putative LysR family transcriptional regulator YafC	2
B7 like protein 6	2
Putative polysacchide deacetylase	2
HNHc domain-containing protein	2
DNA-binding transcriptional regulator, CsgD family	2
Putative KTI12 protein	2
Bifunctional DNA-binding transcriptional repressor/ NMN adenylyltransferase	2
Putative phage protein, putative large terminase	2
Exodeoxyribonuclease V alpha chain (Modular protein)	2
Amidotransferase 1, exosortase A system-associated	2
Rab9 effector protein with kelch motif isoform C	2
GTP cyclohydrolase 1	2
Putative Phage portal protein, HK97 family	2
26S protease regulatory subunit 8, variant 2	2
Putative structural component of prophage	2
Adenylylsulfate kinase and related kinase-like protein	2
IclR-family protein transcriptional regulator	2
Recombinase RdgC	2
LAFE_0H02674g1_1	0
Phage Cro/CI transcriptional regulator	2
Chaperonin-like protein MimG	2
Serine/threonine protein phosphatase	2
Putative ATPase, AAA_5	2
Klhl20 protein	2
RNA polymerase, sigma-24 subunit, ECF subfamily	2
Viral (Superfamily 1) RNA helicase	2
Probable transcriptional regulatory protein YehT	2
Putative DEAD box family helicase, phage associated	2
F-box/kelch-repeat protein SKIP11	2
Spore_coat_protein_CotF	2
Phage late control gene D protein GPD	2
Uvs068	0
Helicase conserved C-terminal domain-containing protein	2
DUF4031 domain-containing protein	1
Ribonuclease H1	2
Predicted ABC-type ATPase	2
Intron orf	0
ASH domain-containing protein	2
DnaB C-terminal domain-containing protein	2
Prophage LambdaSa04, DNA polymerase family protein	2
SPASM domain-containing protein	2
Alpha-ketoglutarate-dependent hydroxylase	2
HB1, ASXL, restriction endonuclease HTH domain	2
Transmembrane cell adhesion receptor mua-3	2
Cell division protein DedD	2
DNA-directed RNA polymerase subunit A''	2
Putative DHH phosphatase family protein	2
PF12686 family protein	1
Signal recognition particle 54 kDa protein, chloroplastic	2
L-iditol 2-dehydrogenase/L-idonate 5-dehydrogenase	2
kelch-like protein 29 isoform X1	2
Conjugative relaxase domain-containing protein, TrwC/TraI family	2
IS21 family transposase ISRme9	2
Primosomal replication protein N	2
Synaptotagmin-1	2
Putative ABC transporter	2
Endonuclease/Exonuclease/phosphatase family protein	2
Bacteriophage lambda NinG family protein	2
Putative tail component encoded by cryptic prophage CP-933M	2
SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A-like protein 1	2
Putative SPP1 family predicted phage head-tail adaptor	2
Holin (3TMs family)	2
RelE family toxin-antitoxin system	2
Structural phage protein	2
PQQ-dependent sugar dehydrogenase	2
3-methyladenine DNA glycosidase	2
Atpase associated with various cellular activities	2
A118 family predicted phage portal protein	2
DNA polymerase bacteriophage-type	2
Bacteriophage lambda gpz minor tail	2
Thioredoxin-like_fold domain-containing protein	2
Possible glycohydrolase	2
Minor tail family protein M	2
PI-PLC Y-box domain-containing protein	2
Tail/DNA circulation protein	2
Cro/CI family transcriptional regulator	2
Response regulator receiver	2
Kelch motif	2
S-ribosylhomocysteine lyase	2
Type IV fimbrial biogenesis protein FimT	2
ExeAgspA	2
Bacteriophage terminase large subunit	2
Ribonucleotide reductase M2 [Bos mutus]	2
CD40 ligand	2
F-box protein At3g54460-like	2
Guanosine-3',5'-bis(Diphosphate) 3'-diphosphatase	2
Cell division cycle 48	2
Mitochondroal chaperone, putative	2
Phage coat protein	2
Putative hydrogen peroxide-inducible genes activator	2
DNA packaging Nu1	2
Homeodomain-like domain-containing protein	2
Cfr family radical SAM enzyme	2
Phosphoethanolamine N-methyltransferase	2
KLH29	2
Lipopolysaccharide biosynthesis protein	2
YjbE family integral membrane protein	2
DNA excision repair protein SNF2, putative	2
Type IV pilus secretin PilQ/predicted competence protein	2
Phage terminase small subuni	2
Putative Site-specific DNA-methyltransferase (Adenine-specific)	2
TSA: Wollemia nobilis Ref_Wollemi_Transcript_25411_1370 transcribed RNA sequence	0
Pif1 protein	2
Uncharacterized HTH-type transcriptional regulator SACOL2360	0
IS1 encoded protein	2
Zinc finger CCCH domain-containing protein 14	2
SFRICE_029225	0
NEDD4-binding protein 2-like isoform X2	2
Caudovirus prohead serine protease	2
UPF0200 protein GX638_13960	1
Kelch repeat and K+ channel tetramerization domain containing protein	2
Intron-encoded endonuclease protein	2
MHYT domain-containing protein, NO-binding membrane sensor	2
ParB partition protein	2
ParB domain-containing protein	2
Single-strand binding protein family protein	2
Prophage pi1 protein 03	0
RNA ligase-domain-containing protein	2
Bis(5'-nucleosyl)-tetraphosphatase, symmetrical	2
LysB family phage lysis regulatory protein	2
Helicase/SNF2 domain-containing protein	2
DNA circulation family protein	2
Spfh domain / band 7 family, putative	2
Marine sediment metagenome DNA	0
DNA polymerase III, subunit gamma and tau	2
Methylated-DNA--[protein]-cysteine S-methyltransferase	2
Proteasome subunit beta type-11-like	2
Two pore domain potassium channel family protein	2
NADPH-dependent 7-cyano-7-deazaguanine reductase QueF	2
Response regulator of the LytR/AlgR family	2
Ribonucleotide reductase subunit	2
Uncharacterized protein Tpau_2998	0
Parallel beta helix pectate lyase-like protein	2
Short chain dehydrogenase/reductase family oxidoreductase	2
Aminopeptidase N	2
LOW QUALITY PROTEIN: tRNA (Cytosine(38)-C(5))-methyltransferase	2
peptide chain release factor PrfB1, chloroplastic-like isoform X1	2
DUF2163 domain-containing protein	1
NEQ329	0
Procollagen-lysine, 2-oxoglutarate 5-dioxygenase 3	2
DNA repair protein RecA mitochondrial-like	2
ATP-dependent zinc metalloprotease FtsH 1	2
Protein containing phage integrase catalytic core domain	2
Type II secretion system pilot lipoprotein GspS-beta	2
Galactose oxidase/kelch repeat superfamily protein	2
Tyrosine recombinase xerC 2	2
Radical SAM methyltransferase, RlmN-like	2
uncharacterized protein LOC101510617 isoform X1	0
DNA-binding transcriptional regulator, XRE-family HTH domain	2
dnaJ protein homolog 2-like	2
NEQ500	0
C887	0
Putative chitinase 3	2
Phage virion morphogeneis protein	2
PUB2 protein	2
Thymidylate synthase	2
Asparagine synthase	2
Phage tail family protein	2
HBL275Wp	0
DEDDh family exonuclease	2
Phage-like element PBSX protein XkdC	2
p-loop containing nucleoside triphosphate hydrolase	2
uncharacterized protein LOC108858997	0
SNF2 family helicase	2
Rad51 DNA recombinase 3	2
Molybdenum cofactor biosynthesis protein A	2
Cell division control protein 48 homolog D	2
Putative exodeoxyribonuclease VIII	2
F-box/kelch-repeat protein At1g15670-like	2
Phage T4 tail fibre	2
Putative Phage tail sheath protein	2
Sensory transduction protein LytT	2
Kelch-like 2	2
NADH:flavorubredoxin oxidoreductase	2
Putative Chitinase	2
CLUMA_CG015213, isoform A	0
von Willebrand factor A [Nocardia brasiliensis ATCC]	2
Unplaced genomic scaffold scaffold_17, whole genome shotgun sequence	0
kelch-like protein 11	2
Topoisomerase-like DNA binding C4 zinc finger protein	2
NAD-dependent nucleoside diphosphate-sugar epimerase-dehydratase protein	2
RadC-like JAB domain-containing protein	2
Calcium-activated chloride channel family member 4	2
Hemicentin-1	2
FlgD_ig domain-containing protein	2
Riboflavin biosynthesis pyrimidine reductase	2
Sle1_029 protein	0
Bacteriophage replication protein O	2
HSP20 family heat shock protein	2
Similar to S.cerevisiae protein ZTA1 (NADPH-dependent quinone reductase)	2
nicotinamide phosphoribosyltransferase isoform X2	2
Transamidase GatB domain protein	2
Portal vertex protein	2
SNF2 domain-containing protein CLASSY 3	2
NadR transcriptional regulator / Nicotinamide-nucleotide adenylyltransferase	2
von Willebrand factor A domain-containing protein 8-like	2
Phosphopantetheine-binding protein	2
Conserved hypothetical phage tail protein	2
M28 family peptidase	2
DNA primase, phage associated P4-type	2
Helicase, SNF2 family	2
Queuosine Biosynthesis QueE Radical SAM	2
Peptidoglycan-specific endopeptidase, M23 family	2
(d)CMP kinase	2
KLHL12	2
Prophage LambdaBa02 protein	2
Putative radical SAM domain-containing transcription regulator TrmB	2
Os07g0598300 protein	0
Phage tail tape measure protein, lambda family	2
Putative tail assembly protein	2
Tail fiber assembly like-protein	2
Thymidine kinase	2
Kelch-like protein 2	2
Chromosome undetermined SCAF15099, whole genome shotgun sequence	0
Major tail subunit encoded within prophage CP-933V	2
TonB-dependent receptor	2
Ubiquitin-activating enzyme E1 1-like isoform X1	2
Cyclic di-GMP phosphodiesterase YfgF	2
Uncharacterized lipoprotein YddW, UPF0748 family	1
Kelch repeat and BTB domain-containing protein 6	2
ParB-like nuclease	2
CP4-57 family phage integrase	2
Macro domain, possibly ADP-ribose binding module	2
LPXTG-motif cell wall anchor domain protein	2
matrilin-4	2
DEAD/DEAH RNA helicase	2
Putative tail collar protein	2
BRO	2
SWF/SNF helicase family protein	2
Putative deaminase	2
Putative carcinoembryonic antigen-related cell adhesion molecule 1	2
Peptidyl-tRNA hydrolase, PTH2 family	2
actin-binding protein IPP isoform X4	2
ATP-dependent RNA helicase DbpA	2
Putative comE operon protein 2	2
Arc/MetJ family transcription regulator	2
2,5-diamino-6-ribosylamino-4(3H)-pyrimidinone 5'-phosphate reductase	2
Kelch repeat and BTB domain-containing protein 2	2
Putative Oxidoreductase	2
Discoidin/Ig-like domain protein	2
Hydroquinone glucosyltransferase-like	2
Kelch domain containing protein	2
Alcohol dehydrogenase-like protein	2
Ser Thr phosphatase family protein	2
Interferon-induced GTP-binding protein Mx2	2
RNA-splicing ligase RtcB	2
Aminotransferase class III-fold pyridoxal phosphate-dependent enzyme	2
PF11863 family protein	1
Kelch domain-containing protein STK_09390	2
Gamma-glutamyl-GABA hydrolase	2
Phage tail sheath gpL-like	2
Type I restriction enzyme EcoKI subunit R	2
ATP-dependent protease peptidase subunit	2
Replication initiator protein	2
FAD-dependent oxidoreductase	2
Transcriptional regulator ChbR	2
DUF2201_N domain-containing protein	1
Nudix (nucleoside diphosphate-linked moiety X)-type motif 1	2
GatB/Yqey family protein	2
Methyltransferase domain	2
GIY-YIG catalytic domain-containing protein	2
Phage phiSLT minor tail protein	2
DNA/RNA helicase	2
Calcineurin-like phosphoesterase domain-containing protein	2
KLH33 protein	2
GTP pyrophosphokinase (P)ppGpp synthetase I	2
Host cell factor C1a	2
Small subunit (Nu1-like protein) of DNA packaging dimer	2
Prophage LambdaCh01, coat protein	2
Dual specificity phosphatase, catalytic domain	2
Predicted ribonuclease YlaK, contains NYN-type RNase and PhoH-family ATPase domains	2
Transcription regulator	2
Prohead core protein	2
SdaC, Amino acid permease	2
ATP-dependent Clp protease adaptor protein ClpS-domain-containing protein	2
Sensory box/GGDEF family protein	2
Transcriptional regulatory protein YpdB	2
LAGLDADG endonuclease	2
Polynucleotide kinase polynucleotide ligase	2
ISL3-like element ISP1 family transposase	2
Protein ninB	2
kelch-like protein 26	2
Putative Oxidoreductase domain-containing protein	2
Replication initiation and membrane attachment protein	2
Probable bacteriophage protein STY1048	0
Beta-barrel assembly machine subunit BamC	2
Lymphocyte-specific helicase-like	2
