protein_annotation	regex_label	manual_label	note
Putative von Willebrand factor type A domain protein-like protein	proper	proper	
Unplaced genomic scaffold scaffold_17, whole genome shotgun sequence	uninformative	uninformative	
Ap4A hydrolase	proper	proper	
Probable integrase/recombinase	proper	proper	
Chromosome segregation ATPase-like protein	proper	proper	
Endonuclease/Exonuclease/phosphatase family protein	proper	proper	
Centromeric protein-C, isoform A	proper	proper	
Uncharacterized N-acetyltransferase YycN	proper	proper	
19	proper	uninformative	
Putative exodeoxyribonuclease VIII	proper	proper	
Putative chromatin remodeling complex swi/snf component swi2	proper	proper	
Streptomycin biosynthesis protein StrI	proper	proper	
Prophage LambdaBa02 protein	proper	proper	I was in doubt about this one, but googling it gave me the function of this protein
Putative surface/cell-adhesion protein, multiple big2 domain	proper	proper	
Phage phiEco32-like COOH-NH2 ligase-type 2	proper	proper	
Mitochondroal chaperone, putative	proper	proper	
Structure structural component	proper	proper	
Cholesterol dehydrogenase	proper	proper	
Prepilin-type cleavage/methylation domain-containing protein	proper	proper	
ATP-dependent RNA helicase dhh1	proper	proper	
Type III restriction-modification system methylation subunit	proper	proper	
QbsD	proper	proper	
Spermine/spermidine acetyltransferase	proper	proper	
5'(3')-deoxyribonucleotidase, cytosolic type-like	proper	proper	
Dna primase small subunit	proper	proper	
Bifunctional 4'-phosphopantothenoylcysteine decarboxylase/phosphopantothenoylcysteine synthetase	proper	proper	
Putative superoxide dismutase protein	proper	proper	
Tail length tape measure protein	proper	proper	
Predicted ATPase with chaperone activity	proper	proper	
Putative bacteriophage protein GP46(Fragment)	proper	uninformative	
prohibitin-3, mitochondrial-like	proper	proper	
Attractin	proper	proper	
DgyrCDS12134	proper	uninformative	
influenza virus NS1A-binding protein homolog A	proper	proper	
P4H1 protein	proper	proper	
Uncharacterized LOC105917673	proper	uninformative	
Prophage tail fiber protein	proper	proper	
Putative metallopeptidase domain containing protein	proper	proper	
HTH-type transcriptional regulator GltC	proper	proper	
NSP5 protein	proper	proper	
Phage/plasmid primase, P4 family, C-terminal domain	proper	proper	
KxYKxGKxW signal peptide containing protein	proper	proper	
uncharacterized protein LOC110278262	uninformative	uninformative	
Bis(5'-nucleosyl)-tetraphosphatase PrpE	proper	proper	
DNA segregation ATPase FtsK/SpoIIIE S-DNA-T family	proper	proper	
CRISPR-associated protein Cas2	proper	proper	
Putative restriction methylase	proper	proper	
Heterochromatin-associated protein HP1 and related CHROMO domain proteins	proper	proper	
KLH33 protein	proper	proper	
Integral membrane protein TerC	proper	proper	
Hsp60-like protein	proper	proper	
Protein of unassigned function	proper	uninformative	
Polymerase III, epsilon subunit protein	proper	proper	
5'-deoxynucleotidase, HD superfamily hydrolase	proper	proper	
P-loop containing nucleoside triphosphate hydrolases superfamily protein	proper	proper	
VRR-NUC domain	proper	proper	
Fe2+/Zn2+ uptake regulation proteins	proper	proper	
Mu-like prophage F protein	proper	proper	
DUF4376 domain-containing protein	low informative	low	
GIY-YIG endonuclease	proper	proper	
Transcriptional regulator, rpiR family	proper	proper	
UDP-galactose-4-epimerase	proper	proper	
PEP-CTERM domain-containing protein	proper	proper	
GuKc domain-containing protein	proper	proper	
GMP synthase	proper	proper	
DNA gyrase inhibitor	proper	proper	
Pectin lyase fold domain protein, virulence factor	proper	proper	
Phosphoribosyl pyrophosphate synthetase associated protein 2	proper	proper	
Prophage endopeptidase	proper	proper	
DNA polymerase III subunit	proper	proper	
Glutamine amidotransferase-like protein	proper	proper	
Paar repeat-containing protein	proper	proper	
Attractin-like protein 1	proper	proper	
Serum response factor-binding protein 1	proper	proper	
Polyketide biosynthesis malonyl CoA-acyl carrier protein transacylase BaeC	proper	proper	
Ribonucleotide Reductase Catalytic Subunit M1	proper	proper	
dTDP-fucosamine acetyltransferase	proper	proper	
Procaryotic DNA polymerase I	proper	proper	
DUF3592 domain-containing protein	low informative	low	
2-heptaprenyl-1,4-naphthoquinone methyltransferase	proper	proper	
DUF1257 domain-containing protein	low informative	low	
Kelch repeat and BTB domain-containing protein 2	proper	proper	
Polyadenylate-specific 3'-exoribonuclease AS	proper	proper	
Protein CHROMATIN REMODELING 8	proper	proper	
DnaB C-terminal domain-containing protein	proper	proper	
Proteasome subunit beta type-11-like	proper	proper	
dnaJ protein homolog 2-like	proper	proper	
Peptidase M23B	proper	proper	
Glycine/D-amino acid oxidases (Deaminating)	proper	proper	
PF12686 family protein	proper	low	
Lipopolysaccharide biosynthetic protein LpxO1	proper	proper	
Branched-chain amino acid ABC transporter2C amino acid-binding protein	proper	proper	
Glycogen debranching protein	proper	proper	
Histone deacetylase family protein	proper	proper	
Group 1 glycosyl transferase	proper	proper	
Invasion-associated locus B family protein	proper	proper	
IPT/TIG domain	proper	proper	
Glutamine-hydrolyzing asparagine synthase	proper	proper	
Lymphocyte-specific helicase-like	proper	proper	
6-phosphofructo-2-kinase/fructose-2, 6-bisphosphatase 4-like	proper	proper	
Acetyltransferase, GNAT	proper	proper	
Epimerase domain-containing protein	proper	proper	
MarR family protein	proper	proper	
DNA (cytosine-5-)-methyltransferase 3 alpha a	proper	proper	
Putative IclR family transcriptional regulator	proper	proper	
probable helicase CHR10 isoform X2	proper	proper	
DDHD domain protein	proper	proper	
Metallopeptidase SprT	proper	proper	
HELLS helicase	proper	proper	
Acyl-CoA dehydrogenase probable dibenzothiophene desulfurization enzyme	proper	proper	
Putative phage polynucleotide kinase	proper	proper	
Putative peptidase, S24-like	proper	proper	
Phosphatase / protein serine/threonine kinase	proper	proper	
Tetratricopeptide TPR_2 repeat-containing protein	proper	proper	
Short chain dehydrogenase	proper	proper	
DgyrCDS7900	proper	uninformative	
Chaperone (AssE2)	proper	proper	
Putative Similar to bacteriophage protein	uninformative	uninformative	
Fibronectin type-III domain-containing protein	proper	proper	
N-acetyl-gamma-glutamyl-phosphate reductase	proper	proper	
NTTRR-F1 domain	proper	proper	
Kelch repeat-containing protein kel-10	proper	proper	
PF03681 family protein	proper	low	
SMRCD regulator	proper	proper	
Macro domain, possibly ADP-ribose binding module	proper	proper	
Phage tail fiber repeat protein	proper	proper	
Thymidylat_synt domain-containing protein	proper	proper	
Spermidine N(1)-acetyltransferase	proper	proper	
Integrase core domain	proper	proper	
Exported fimbriae assembly protein	proper	proper	
Mu-like prophage FluMu protein gp28-like protein	proper	uninformative	Although I can trace back which protein we are talking about one, this is not an internationally recognized protein grouping
Type-4 uracil-DNA glycosylase	proper	proper	
Putative type I polyketide synthase	proper	proper	
Cep76 protein	proper	proper	
Nucleoid-associated protein NdpA	proper	proper	
phosphoribosyl pyrophosphate synthase-associated protein 1 isoform X1	proper	proper	
Pyruvate carboxylase	proper	proper	
Chromosomal partitioning gene	proper	proper	
DUF1887 family protein	low informative	low	
Metal-dependent phosphohydrolase hd sub domain protein	proper	proper	
Putative Phage major tail protein, Phi13 family	proper	proper	
Beta-barrel assembly machine subunit BamC	proper	proper	
ABC transporter substrate-binding lipoprotein YvgL (Modular protein)	proper	proper	
Short chain dehydrogenase/reductase family oxidoreductase	proper	proper	
Putative transposase/integrase	proper	proper	
UvrABC system protein A	proper	proper	
RAD51, putative	proper	proper	
Kelch repeat-containing protein 2	proper	proper	
Putative phosphopantothenate--cysteine ligase 2	proper	proper	
Terminase large (ATPase) subunit and inactivated derivatives	proper	proper	
5'-3' exonuclease, N-terminal resolvase-like domain	proper	proper	
Kelch-like family member 2	proper	proper	
TerD-family protein	proper	proper	
Acyl-CoA-binding domain-containing protein 4	proper	proper	
Prophage CP4-like integrase	proper	proper	
uncharacterized protein LOC116305654	uninformative	uninformative	
Phage virion	proper	proper	this is a difficult one, because phage virion protein would be proper, so I am going to let it be proper
Lipid A 3-O-deacylase	proper	proper	
Phosphatidylserine decarboxylase	proper	proper	
Parallel beta-helix repeat protein	proper	proper	
Transposase, IS204/IS1001/IS1096/IS1165	proper	proper	
Peptide chain release factor PrfB1 chloroplastic	proper	proper	
23S rRNA (Adenine-N6)-dimethyltransferase	proper	proper	
Putative von Willebrand factor, type A	proper	proper	
Putative gpG protein	proper	uninformative	this is a difficult one, because it is most likely the structural protein G since we are talking viruses here, but I actually can't be sure about that, so then it is a grouping (Gp-number) that is not internationally recognized or specific enough
Unplaced genomic scaffold K443scaffold_267, whole genome shotgun sequence	uninformative	uninformative	
uncharacterized protein LOC107862803	uninformative	uninformative	
Zinc finger protein	proper	proper	
kelch-like protein 32 isoform X1	proper	proper	
Tail fiber assembly protein, putative	proper	proper	
Transcription elongation protein SprT	proper	proper	
Single-strand DNA-binding protein	proper	proper	
uncharacterized protein LOC113082488	uninformative	uninformative	
Ribosome production factor 2 homolog	proper	proper	
50S ribosomal protein L25	proper	proper	
Phage baseplate	proper	proper	
Helix-turn-helix domain of resolvase	proper	proper	
Acetyltransferase family protein	proper	proper	
AAA-ATPase At3g28540	proper	proper	
Choline sulfatase	proper	proper	
UPF0200 protein GKC00_08395	proper	low	
Invasion protein IalB, involved in pathogenesis	proper	proper	
uncharacterized protein LOC110754071	uninformative	uninformative	
Thioredoxin-like protein 1	proper	proper	
Glucosamine 6-phosphate N-acetyltransferase 1	proper	proper	
Uncharacterized protein P8A3.02c	proper	uninformative	
DUF5641 domain-containing protein	low informative	low	
DUF2815 family protein	low informative	low	
DUF724 domain-containing protein 6-like	low informative	low	
Mu-like prophage protein gp29 (DUF935 domain)	low informative	low	it is labeled low because of the DUF in the description
PF11863 family protein	proper	low	
DUF1353 domain protein	low informative	low	
DUF3696 domain-containing protein	low informative	low	
DUF4907 domain-containing protein	low informative	low	
DUF697 domain-containing protein	low informative	low	
WD-40 repeat protein	proper	low	WD-40 is a fold, not a function
Asparagine-rich protein, putative	proper	low	
LINOCIN M18	proper	low	
Putative phage late control gene D protein	proper	proper	
Pseudouridine synthase	proper	proper	
BRO family, N-terminal domain protein	proper	proper	
PI-PLC Y-box domain-containing protein	proper	proper	
Sodium/proton antiporter, CPA1 family	proper	proper	
FeSOD	proper	proper	
P22_AR N-terminal domain	proper	proper	
Mannose-P-dolichol utilization defect 1 protein	proper	proper	
Protein LvrA	proper	proper	
BclA_C domain-containing protein	proper	proper	
O-fucosyltransferase family protein	proper	proper	
Phage head morphogenesis protein	proper	proper	
TRCF domain protein	proper	proper	
Circumsporozoite protein	proper	proper	
Phenylpropionate dioxygenase ferredoxin reductase subunit	proper	proper	
Phosphate starvation-inducible ATPase phoH	proper	proper	
PT repeat-containing protein	proper	proper	
Eukaryotic initiation factor 4A-III	proper	proper	
DNA topoisomerase type II	proper	proper	
Flagellar rod assembly protein/muramidase FlgJ	proper	proper	
GDP-mannose-dependent alpha-(1-6)-phosphatidylinositol monomannoside mannosyltransferase	proper	proper	
Phage tail assembly chaperone gp38	proper	proper	
Predicted ribonuclease YlaK, contains NYN-type RNase and PhoH-family ATPase domains	proper	proper	
Cell division protein DedD	proper	proper	
5'-deoxynucleotidase AKG98_225	proper	proper	
Kelch-like protein 35	proper	proper	
26S protease regulatory subunit 8 homolog B	proper	proper	
Polynucleotidyl transferase, ribonuclease H-like superfamily protein 1	proper	proper	
TOPRIM domain protein	proper	proper	
Kelch domain-containing 3	proper	proper	
Protein translocase subunit SecA	proper	proper	
Glycosyl transferase family 25	proper	proper	
Predicted 2-oxoglutarate-and Fe(II)-dependent dioxygenase YbiX	proper	proper	
Pentraxin fusion-like protein	proper	proper	
Methyltransferase domain	proper	proper	
tRNA (Cytosine(38)-C(5))-methyltransferase-like	proper	proper	
Putative Antirepressor	proper	proper	
SLAM family member 6 isoform X1	proper	proper	
Amidohydro-rel domain-containing protein	proper	proper	
Putative alpha glycosidase Glycoside hydrolase family 13	proper	proper	
LAGLDADG endonuclease	proper	proper	
Phage tail sheath gpL-like	proper	proper	
Peptidase M14 carboxypeptidase A	proper	proper	
Acetyltransferase	proper	proper	
Peptide chain release factor PrfB2	proper	proper	
Cytidine and deoxycytidylate deaminase	proper	proper	
Modification methylase Bsp6I	proper	proper	
Sel1l2 protein	proper	proper	
Cupin-1 multi-domain protein	proper	proper	
Ser/thr protein phosphatase family protein	proper	proper	
Phage tail assembly chaperone family protein, TAC	proper	proper	
Galactokinase	proper	proper	
Heavy metal transporter	proper	proper	
PREDICTED: D-cysteine desulfhydrase	proper	proper	
NAD-binding oxidoreductase	proper	proper	
26S protease regulatory subunit 8, variant 2	proper	proper	
Putative phage virion morphogenesis protein	proper	proper	
Ribonuclease HII	proper	proper	
RNA polymerase sigma factor	proper	proper	
Putative prophage antirepressor	proper	proper	
Virulence factor MVIN family protein	proper	proper	
RNA polymerase sigma24 factor	proper	proper	
Aspartyl:asparaginyl beta hydroxylase	proper	proper	
Dcysteine desulfhydrase	proper	proper	
Ubiquinol:cytochrome C oxidoreductase biogenesis factor	proper	proper	
Probable thymidylate synthase	proper	proper	
Ubiquitin activating enzyme 2	proper	proper	
Epimerase family protein	proper	proper	
Tub	proper	proper	
5'-deoxynucleotidase EDC44_10754	proper	proper	
Putative norphogenetic protein	proper	proper	
Phage tail fibre repeat protein	proper	proper	
Gp46 recombination endonuclease subunit	proper	proper	
DNA-binding transcriptional regulator	proper	proper	
Acetylglucosamine transferase	proper	proper	
Bacteriophage/transposase fusion protein	proper	proper	
Kelch-like protein 2 isoform X5	proper	proper	
2-oxoglutarate and Fe(II)-dependent oxygenase superfamily isoform 1	proper	proper	
Flavivirus DEAD domain/DNA replication factor Dna2	proper	proper	
Enoyl-CoA hydratase domain-containing protein 3, mitochondrial	proper	proper	
mRNA interferase endoA	proper	proper	
10 kDa heat shock protein, mitochondrial	proper	proper	it is proper because of the 'heat shock protein' description in there
Phage minor tail protein L	proper	proper	
Lactonase-like protein	proper	proper	
DNA-directed RNA polymerase, sigma subunit (Sigma70/sigma32)	proper	proper	
Phage tail fiber protein H	proper	proper	
Fibroblast growth factor receptor homolog 2	proper	proper	
Virulence factor	proper	proper	
Conidial yellow pigment biosynthesis polyketide synthase nscA	proper	proper	
5'-3' exonuclease, SAM domain protein	proper	proper	
Protein, SNF2 family	proper	proper	
Type II secretory pathway pseudopilin PulG	proper	proper	
Peptidoglycan lytic protein P45	proper	proper	
Integrin alpha-M CD11 antigen-like family member B CR-3 alpha chain	proper	proper	
host cell factor 2-like isoform X2	proper	proper	
Bro family antirepressor	proper	proper	
Nudix (nucleoside diphosphate-linked moiety X)-type motif 1	proper	proper	
Holin (3TMs family)	proper	proper	
Chromodomain-helicase-DNA-binding 2 isoform X1	proper	proper	
Btaf1 protein	proper	proper	
MutT/nudix family protein	proper	proper	
SprT family	proper	proper	
kelch-like protein 29 isoform X1	proper	proper	
XkdG	proper	proper	
Putative XRE-type DNA-binding protein	proper	proper	
T2SS-T3SS_pil_N domain-containing protein	proper	proper	
tubulin epsilon chain isoform X4	proper	proper	
DNA endonuclease	proper	proper	
Adenylyltransferase/cytidyltransferase family protein	proper	proper	
Phage tape measure domain-containing protein	proper	proper	
ATP-dependent RNA helicase DbpA	proper	proper	
Putative DNA-binding transcriptional regulator	proper	proper	
Death-on-curing family protein	proper	proper	
NADH-ubiquinone oxidoreductase chain 4	proper	proper	
Ribonucleoside-diphosphate reductase small chain protein	proper	proper	
Anaerobic ribonucleoside-triphosphate reductase	proper	proper	
Putative DNA binding CopG/RHH family protein	proper	proper	
DinG family ATP-dependent helicase YoaA	proper	proper	
ATP dependent Clp protease	proper	proper	
Bacteriophage Mu tail sheath protein GpL family protein	proper	proper	
Type 3 dihydrofolate reductase	proper	proper	
Replication factor C, subunit RFC5	proper	proper	
Putative Site-specific recombinase XerD	proper	proper	
LvrA	proper	proper	
Putative Microcystin-dependent protein	proper	proper	
Uncharacterized protein YjdB/endo-1,4-beta-D-glucanase Y	proper	proper	
Hepatitis A virus cellular receptor 1	proper	proper	
RmlD_sub_bind domain-containing protein	proper	proper	
Kelch domain-containing isoform A	proper	proper	
Reverse transcriptase, RNaseH, putative	proper	proper	
N4BP2 protein	proper	proper	
RGS domain-containing protein	proper	proper	
Putative endopeptidase (Protein gp15)	proper	proper	
Brain-specific angiogenesis inhibitor 1-associated protein 2	proper	proper	
Primase-polymerase (Primpol)-like protein	proper	proper	
DnaJ-class molecular chaperone CbpA	proper	proper	
Ribonuclease H1-like Protein	proper	proper	
Beta-aspartyl asparaginyl family	proper	proper	
NADH-dependent phenylglyoxylate dehydrogenase subunit epsilon	proper	proper	
N-terminal acetyltransferase complex ARD1 subunit A	proper	proper	
Diguanylate cyclase (GGDEF) domain	proper	proper	
Protein-S-isoprenylcysteine O-methyltransferase	proper	proper	
ANXA8 protein	proper	proper	
Putative glutamine amidotransferase-like protein YvdE	proper	proper	
Putative membrane bound ATPase	proper	proper	
Exonuclease VII	proper	proper	
Chaperonin 60 subunit beta 2, chloroplastic	proper	proper	
Putative Uncharacterized phosphosugar isomerase aq_1546	proper	proper	
Thioredoxin O1, mitochondrial	proper	proper	
Kelch motif/HYR domain protein	proper	proper	
G-patch domain and KOW motifs	proper	proper	
Portal protein	proper	proper	
F-box protein At3g54460-like	proper	proper	
NAD_synthase domain-containing protein	proper	proper	
Estradiol 17-beta-dehydrogenase	proper	proper	
Trafficking protein particle complex 8	proper	proper	
Bacteriophage HNH endonuclease	proper	proper	
DnaJ-like protein subfamily B member 1	proper	proper	
TOP2B protein	proper	proper	
Peptide chain release factor 2 programmed frameshift-containing	proper	proper	
Peptidase S26B, signal peptidase	proper	proper	
Protein SNF2 family	proper	proper	
RNA polymerase sigma-E factor	proper	proper	
Similar to DNA double-strand break repair Rad50 ATPase acc. no. Q58718	proper	proper	
NUDIX hydrolase domain	proper	proper	
Putative sulfate transport protein CysZ	proper	proper	
Peptide chain release factor class A (=1)	proper	proper	
GDSL-like lipase/acylhydrolase	proper	proper	
Kelch repeat protein	proper	proper	
Acyl-CoA thioesterase 1	proper	proper	
Putative Baseplate J family protein	proper	proper	
Two pore domain potassium channel family protein	proper	proper	
Chloramphenicol phosphotransferase family protein	proper	proper	
SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A containing DEAD/H box 1B	proper	proper	
SPP1 family phage portal protein	proper	proper	
Yqaj viral recombinase	proper	proper	
Spore_coat_protein_CotF	proper	proper	
Phage_int_SAM_2 domain-containing protein	proper	proper	
POL4 protein	proper	proper	
Cell division protein ftsZ	proper	proper	
DNA polymerase III alpha subunit (Gram-positive type)	proper	proper	
Tail component of prophage CP-933X	proper	proper	
Similar to S.cerevisiae protein ZTA1 (NADPH-dependent quinone reductase)	proper	proper	
NUC	proper	proper	
Phospholipid N-methyltransferase	proper	proper	
Putative deoxycytidine triphosphate deaminase	proper	proper	
NB-ARC domain containing protein expressed	proper	proper	
RecA	proper	proper	
Putative phosphoadenosine phosphosulfate reductase	proper	proper	
Lipolytic enzyme, GDSL domain protein	proper	proper	
Vicilin-like antimicrobial peptides 2-2	proper	proper	
NAD-dependent uronate-dehydrogenase	proper	proper	
Nucleotidyltransferase-like protein	proper	proper	
APS kinase	proper	proper	
Anaphase-promoting complex subunit 2	proper	proper	
Acyl-CoA thioesterase	proper	proper	
F-box/kelch-repeat protein at1g55270-like protein	proper	proper	
SGNH family lipase/esterase	proper	proper	
NhaP-type antiporter	proper	proper	
Rna recognition motif-containing protein	proper	proper	
8-oxo-dGTP pyrophosphatase MutT (NUDIX family)	proper	proper	
Prophage tail fiber assembly protein homolog TfaE	proper	proper	
Chemical-damaging agent resistance protein C	proper	proper	
Swr1 complex component	proper	proper	
Cytosine-specific methyltransferase	proper	proper	
DNA circulation family protein	proper	proper	
Carbonic anhydrase	proper	proper	
Hep_Hag family protein	proper	proper	
Phage terminase, small subunit, putative, P27	proper	proper	
Replication initiator protein A, N-terminal domain protein	proper	proper	
PucR-like helix-turn-helix protein	proper	proper	
ATP/GTP-binding motif protein	proper	proper	
Sensory box ggdef family protein	proper	proper	
Putative Zn peptidase	proper	proper	
Bacterial stress domain protein	proper	proper	
SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A containing DEAD/H box 1 homolog isoform X2	proper	proper	
DNA mismatch repair protein MutT	proper	proper	
NmrA domain-containing protein	proper	proper	
Gamma-glutamylcyclotransferase family protein ytfP	proper	proper	
DNA_pol3_beta_2 domain-containing protein	proper	proper	
Gamma-glutamyl-GABA hydrolase	proper	proper	
Cupin domain protein	proper	proper	
Nucleoside triphosphatase, D5 family	proper	proper	
Heat shock protein	proper	proper	
Putative Rac prophage prophage lambda endopeptidase	proper	proper	
Replication factor C / DNA polymerase III gamma-tau subunit isoform 2	proper	proper	
Pif1 protein	proper	proper	
Band_7_C domain-containing protein	proper	proper	
RING/U-box superfamily protein	proper	proper	
Tail tube protein	proper	proper	
SWF/SNF helicase family protein	proper	proper	
KLD8B protein	proper	proper	
Primase-polymerase (Primpol) domain-containing protein	proper	proper	
Threonine dehydrogenase-like Zn-dependent dehydrogenase	proper	proper	
Putative heat shock protein	proper	proper	
Phenylalanine--tRNA ligase beta subunit	proper	proper	
Autotransporter adhesin	proper	proper	
SNF2-related protein	proper	proper	
GalE-1 UDP-glucose 4-epimerase	proper	proper	
Probable serine/threonine-protein kinase	proper	proper	
AAA-type ATPase family protein isoform 2	proper	proper	
Phage tail fiber repeat family protein	proper	proper	
Phage DNA polymerase	proper	proper	
Adenine DNA glycosylase	proper	proper	
Dolichyl-diphosphooligosaccharide--protein glycosyltransferase	proper	proper	
Polynucleotide kinase polynucleotide ligase	proper	proper	
Nudix-family protein	proper	proper	
SNF2 helicase	proper	proper	
LADLIDADG maturase/endonuclease-like protein	proper	proper	
NAD(P)-bd_dom domain-containing protein	proper	proper	
Glycine zipper 2TM domain protein	proper	proper	
Kelch repeat and BTB domain-containing protein	proper	proper	
Carbohydrate binding protein with CBMX2 domain	proper	proper	
Lysozyme domain protein	proper	proper	
Transcriptional regulator, IclR family	proper	proper	
Ribosomal protein S5 alanine N-acetyltransferase	proper	proper	
Putative nedd4 binding protein 2	proper	proper	
Ser/Thr phosphatase family protein	proper	proper	
Putative Site-specific DNA-methyltransferase (Adenine-specific)	proper	proper	
LAGLIDADG DNA endonuclease family	proper	proper	
Intein-containing DNA gyrase subunit B	proper	proper	
Putative AAA domain-containing protein	proper	proper	
ASPH	proper	proper	
P22_AR_N domain-containing protein	proper	proper	
SNF family helicase	proper	proper	
Cell Wall Hydrolase	proper	proper	
Phosphate starvation-inducible phoH	proper	proper	
HTH_45 domain-containing protein	proper	proper	
Fur-regulated protein	proper	proper	
